var1,var2,var3,var4,var5,var6,mf
570.0158,15974,1.7,231,0.1,0.0357,C38H67NO2
570.9521,14818,2,271,0.1,0.0385,C23H58N10O6
571.0278,10545,2.4,325,0.2,0.0542,C30H66N8O2
571.1434,14330,1.5,206,0.1,0.0399,C33HNO10
571.5193,12044,2.2,294,0.1,0.0475,C33HN9O3
572.0225,13494,2.3,313,0.2,0.0424,C29H65N9O2
572.5213,12534,2.5,332,0.2,0.0457,C25H4N10O8
572.9483,14939,4.2,560,0.3,0.0384,C26H56N10O4
573.0132,7852,4.1,552,0.3,0.073,C34H64N6O
573.4499,15166,2.1,274,0.1,0.0378,C33H3NO10
573.5251,16051,2.9,387,0.2,0.0357,C38H7NO6
574.0178,9210,6.5,868,0.4,0.0623,C31H67N5O4
574.4571,14635,2,268,0.1,0.0393,C32H2N2O10
574.5246,10267,2.2,289,0.1,0.056,C26H6N8O9
575.0098,8700,4.7,636,0.3,0.0661,C41H66O
575.4744,12129,3.6,476,0.2,0.0474,C30HN5O9
575.9919,13421,11.7,1569,0.8,0.0429,C37H61N5
576.4799,15079,2,265,0.1,0.0382,C39N2O5
576.997,9527,3.8,515,0.3,0.0606,C34H64N4O3
577.3764,15907,1.8,236,0.1,0.0363,C31H3N3O10
577.4914,10114,3.8,505,0.2,0.0571,C30H3N5O9
577.9873,15598,4.5,604,0.3,0.0371,C28H63N7O5
578.4309,11966,1.5,206,0.1,0.0483,C36H2O9
578.5064,15233,1.8,239,0.1,0.038,C38H2N4O4
579.0143,10160,1.8,243,0.1,0.057,C39H66N2O
579.3589,12942,1.9,250,0.1,0.0448,C35HNO9
579.3942,21165,1.9,256,0.1,0.0274,C35HNO9
579.4211,14987,1.7,235,0.1,0.0387,C35HNO9
579.5136,16111,2.6,348,0.2,0.036,C36HN7O3
580.0342,8040,2.4,325,0.2,0.0721,C40H69NO
580.5048,15450,1.6,216,0.1,0.0376,C30N10O5
581.0346,23265,2.1,285,0.1,0.025,C33H68N6O2
581.4776,13242,1.5,208,0.1,0.0439,C35H3NO9
